Designator,Mid X,Mid Y,Rotation,Layer
C1,121.1321,-91.6217,0,top
C2,121.4159,-62.6886,0,top
C3,121.4159,-34.7139,0,top
J1,130.293,-123.6703,90,top
J2,169.2009,-79.647,90,top
R10,149.2465,-85.9231,0,top
R11,128.5211,-108.0742,180,top
R12,141.986,-108.1024,180,top
R13,128.7937,-85.9167,180,top
R14,140.3096,-85.9282,0,top
R15,129.3876,-64.0326,180,top
R16,142.171,-64.2333,180,top
R17,128.6634,-41.5141,180,top
R18,143.2306,-41.5544,180,top
R19,135.89,-118.5164,180,top
R2,113.8174,-116.1796,180,top
R20,149.606,-118.6688,180,top
R21,136.2295,-96.5034,180,top
R22,148.836,-96.5034,180,top
R23,136.1582,-74.6771,0,top
R24,147.7518,-74.7522,180,top
R25,137.2,-52.2,0,top
R26,150.9494,-52.1,0,top
R27,156.9974,-115.0112,180,top
R3,135.89,-108.204,0,top
R4,148.9964,-108.1024,0,top
R5,135.8682,-85.9231,180,top
R6,135.9086,-41.5141,0,top
R7,148.9506,-64.2343,0,top
R8,149.3055,-41.6276,0,top
R9,136.1876,-64.1894,180,top
U1,114.3031,-95.3278,270,top
U10,135.9712,-92.4283,90,top
U11,149.3471,-92.404,90,top
U12,128.5635,-57.4422,270,top
U13,141.8191,-57.4223,270,top
U14,136.2159,-70.7659,90,top
U15,149.4232,-70.8081,90,top
U16,128.3657,-34.8889,270,top
U17,142.1381,-34.941,270,top
U18,136.0369,-48.2324,90,top
U19,149.6794,-48.2324,90,top
U2,114.3024,-65.8546,270,top
U3,113.9599,-37.916,270,top
U4,128.2685,-101.6212,270,top
U5,141.5926,-101.7581,270,top
U6,135.8809,-114.6898,90,top
U7,149.0175,-114.7804,90,top
U8,128.366,-79.2482,270,top
U9,141.7979,-79.2333,270,top
