Designator,Mid X,Mid Y,Rotation,Layer
C1,19.8882,-13.081,90,top
C10,16.0782,-68.707,90,top
C11,19.8882,-17.6022,90,top
C2,6.8793,-74.2317,0,top
C4,48.6664,-61.7728,0,top
C5,50.1904,-32.4104,180,top
C6,48.5394,-4.2926,0,top
C7,35.56,-75.9206,90,top
C8,48.768,-87.4268,180,top
C9,48.768,-89.7128,180,top
J1,5.3888,-58.8737,270,top
J10,5.075,-81.5086,0,top
J11,25.4682,-64.7683,180,top
J2,5.3888,-36.8006,270,top
J3,57.3528,-92.4106,0,top
J4,11.2638,-13.8507,0,top
J5,20.7264,-86.8022,270,top
J6,96.2874,-48.7466,0,top
J7,25.2523,-23.0361,180,top
J8,25.4809,-27.9383,180,top
J9,25.407,-69.3149,180,top
R1,80.0608,-40.2844,180,top
R10,9.4488,-92.8878,270,top
R11,12.6238,-92.964,270,top
R12,15.7988,-92.9132,270,top
R13,14.6304,-81.9658,0,top
R14,14.6558,-85.6996,0,top
R15,55.5419,-77.1139,180,top
R16,55.9054,-54.9628,180,top
R17,69.1134,-76.8858,180,top
R18,69.0711,-54.9628,180,top
R19,55.9879,-33.0723,180,top
R2,63.179,-43.7168,0,top
R20,69.1918,-33.273,180,top
R21,56.1848,-10.541,180,top
R22,70.231,-10.541,180,top
R23,62.484,-33.0723,180,top
R24,75.9714,-33.274,0,top
R25,61.4934,-10.541,0,top
R26,75.9714,-10.541,0,top
R27,76.2673,-54.9628,0,top
R28,60.6044,-54.9628,0,top
R29,74.6506,-76.8858,0,top
R3,76.581,-65.6336,180,top
R30,61.7474,-77.1139,0,top
R31,21.1666,-42.3703,90,top
R32,21.2346,-47.6804,270,top
R33,36.6268,-53.721,90,top
R34,36.6254,-59.5168,270,top
R35,21.3289,-58.8517,270,top
R36,21.3289,-53.2336,90,top
R37,6.8793,-71.8187,0,top
R38,5.7171,-67.8058,90,top
R39,13.7028,-20.32,180,top
R4,63.2503,-65.5431,180,top
R40,8.0285,-67.8312,270,top
R41,36.703,-83.6422,90,top
R42,69.4788,-88.7984,180,top
R5,76.327,-87.4268,180,top
R6,63.4238,-86.9442,180,top
R7,64.0334,-21.7678,0,top
R8,78.0034,-21.6154,0,top
R9,88.011,-13.9192,0,top
S2,2.31,-81.5086,270,top
U1,40.98,-6.955,270,top
U10,55.3868,-48.2879,270,top
U11,62.992,-61.468,90,top
U12,55.5843,-26.4819,270,top
U13,63.236,-40.0549,90,top
U14,55.3865,-3.9286,270,top
U15,63.0577,-17.2721,90,top
U16,32.9338,-59.7773,90,top
U17,32.9338,-52.5576,90,top
U18,55.2893,-70.6609,270,top
U19,48.488,-94.1458,180,top
U2,41.3239,-34.895,270,top
U20,76.0383,-83.8201,90,top
U21,68.8187,-48.273,270,top
U22,76.3679,-61.4437,90,top
U23,68.8399,-26.462,270,top
U24,76.444,-40.0978,90,top
U25,69.1589,-3.9807,270,top
U26,76.7002,-17.2721,90,top
U27,14.2707,-73.2411,270,top
U28,27.0208,-13.8684,180,top
U3,41.3239,-64.3675,270,top
U4,25.4,-75.1579,270,top
U5,25.2883,-35.0583,270,top
U6,43.5556,-89.088,180,top
U7,25.2958,-42.3876,270,top
U8,68.6134,-70.7978,270,top
U9,62.8982,-83.7444,90,top
