Designator,Mid X,Mid Y,Rotation,Layer
J2,168.6032,-66.9021,90.0,top
J3,120.977,-53.3666,0.0,top
J4,156.6672,-66.548,180.0,top
J5,133.4362,-64.1666,270.0,top
J6,121.4274,-64.1666,270.0,bottom
J7,156.7434,-53.5178,270.0,top
J8,97.7138,-65.0802,180.0,bottom
J9,108.585,-61.087,0.0,top
R1,113.9952,-60.2488,270.0,top
R2,150.9268,-58.6232,0.0,top
R3,146.4056,-58.6486,0.0,top
R4,146.304,-72.9996,180.0,top
R5,150.749,-72.9996,180.0,top
R6,156.8704,-79.0956,0.0,top
R7,156.9466,-82.7278,0.0,top
U1,148.5646,-63.119,0.0,top
U2,148.5646,-69.0118,0.0,top
U3,148.5646,-77.2414,180.0,top
U4,148.5646,-83.4898,180.0,top
