Designator,Footprint,Quantity,Value,LCSC Part #,Do Not Place,Potential source
J2,RJHSE5381,1,RJHSE-5381,,DNP,https://www.aliexpress.com/item/32728838902.html?spm=a2g0o.order_list.order_list_main.308.71011802gTyL6x
J3,RHDR40W64P254_2X20_5130X500X1625P,1,PRT-16763,,DNP,https://www.aliexpress.com/item/1005005366790021.html?spm=a2g0o.order_list.order_list_main.33.71011802gTyL6x
J4,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05_Pin,,DNP,
"J5, J6",PinHeader_1x04_P2.54mm_Horizontal,2,Conn_01x04_Pin,,DNP,
J7,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,,DNP,
J8,HDRRA4W64P0X254_1X4_1001X318X635P,1,171857-0004,,DNP,https://www.aliexpress.com/item/1005002905132620.html?spm=a2g0o.order_list.order_list_main.68.71011802gTyL6x
J9,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,Conn_01x04_MountingPin,C160404,DNP,
"K1, K2, K3, K4",SOP254P1016X400-4N,4,KAQY214S,C2890344,DNP,
"R1, R6, R7",0805,3,4.7K,C17673,DNP,
"R2, R3, R4, R5",0805,4,390,C17655,DNP,
